Date,Baseline 1,Baseline 2,Sport,Drink,Meal 1,Meal 2,Meal 3,Meal 4,Meal 5
22/08/2020,5.5,7,no,pomegranate soda,nectarine,cake* 3,sima's pizza * 2,mataz haluz,air
23/08/2020,5.5,7,no,pomegranate soda,nectarine,sfikha * 2,labane,zaatar * 2,pizza * 2
24/08/2020,5,7,no,pomegranate soda,nectarine,sfikha * 2,zaatar * 2,pizza * 2,air
25/08/2020,3.25,7,football,black coffee,nectarine,ycs,sambosak * 2,air,air
26/08/2020,3.25,7,no,black coffee,mama mia!,tuna sandwich,yoplait white chocolate,dganim large,air
27/08/2020,3.5,7,no,pomegranate soda,rice with gulasch,aslan's pizza,nectarine,air,air
28/08/2020,3.25,6,no,pomegranate soda,nectarine,labane,bamba,haluz,air
29/08/2020,2.75,6,no,pomegranate soda,mom's spaghetti with vegies,nectarine,a bread with labane,tee with biscuits,air
30/08/2020,2.5,5,no,pomegranate soda,rice with beans and meat,nectarine,tuna sandwich,air,air
31/08/2020,3.5,5,no,black coffee,japo,nectarine,tuna + ycs * 1,bamba,air
01/09/2020,4.75,5,football,black coffee,shwarma with fries,bamba,tuna sandwich * 1,shake grape + mango,air
02/09/2020,4,6,no,black coffee,girraffe with pork,tuna sandwich * 1,cake+ kinder small,ycs,air
03/09/2020,3.75,6.5,no,pomegranate soda,rice with chicken,nectarine,haluz * 4,kariot,air
04/09/2020,3.75,6,no,pomegranate soda,fish,lina's cake small,pizza,haluz * 10,air
05/09/2020,4.25,6.5,no,pomegranate soda,rice and ktzitzut,nectarine,bamba,air,air
06/09/2020,4.5,6,no,pomegranate soda,rice and ktzitzut,nectarine,few chocolates,air,air
07/09/2020,5,5.5,no,coffee with milk,chicken burgeer and fries,kariot large,bamba,air,air
08/09/2020,5,5,football,black coffee,humus and flaffel large,tuna sandwich * 1,air,air,air
09/09/2020,5,5.5,no,black coffee,shwarma with fries,shai's wedding:,homus,beer * 2,air
10/09/2020,4.25,6,no,pomegranate soda,mom's spaghetti with vegies,sfihka * 3,bamba,nectarine,pizza * 2
11/09/2020,3.25,6,no,pomegranate soda,fish,nectarine,sfihka * 2,pizza * 3,air
12/09/2020,2.5,5,no,pomegranate soda,rice and ktzitzut,cakemedium,haluz * 5,dganim large,air
13/09/2020,2.5,5,no,pomegranate soda,mom's spaghetti with vegies,nectarine,yoplait,air,air
14/09/2020,3.25,6,no,coffee with milk,shwarma,nectarine,ycs,air,air
15/09/2020,4.25,6,football,coffee with milk,tuna sandwich * 3,sushi small,dganim,bamba,air
16/09/2020,5,7,no,coffee with milk,shwarma and diet coke,ycs * 2,very shitty kariot vanilla,air,air
17/09/2020,5,7,football,pomegranate soda,rice + beans + chicken,nectarine,haluz * 6,air,air
18/09/2020,5,8,no,water,fish,nectarine,pizza * 3,bamba,zaatar * 2
19/09/2020,4.75,8.5,no,pomegranate soda,pizza +,nectarine,shwarma * 2,cake small,air
20/09/2020,4.5,8,no,pomegranate soda,pizza * 4,nectarine,zaatar + pitza * 2,labane,avocado
21/09/2020,4.5,8,no,pomegranate soda,pizza * 3,nectarine,yoplait white chi small,haluz * 5,zaatar * 2
22/09/2020,4.25,7,no,coffee with milk,shwarma,nectarine,ycs,air,air
23/09/2020,3.75,7,no,pomegranate soda,ycs,spaghetti,bamba,bisley * 2,air
24/09/2020,3.5,7,no,pomegranate soda,rice and ktzitzot,bamba,pizza * 2,zaatar * 2,air
25/09/2020,3.5,6,no,pomegranate soda,fish,bisley * 1,haluz * 5,air,air
26/09/2020,3.5,6,no,pomegranate soda,schips pasta,pizza * 2,bamba + doritos salty,tea and biscuits small,zaatar * 2
27/09/2020,3.5,6.5,no,pomegranate soda,shwarma,cake small,air,air,air
28/09/2020,4,7.5,no,pomegranate soda,kuskus and chicken and eggs,cakelarge * 3,air,air,air
29/09/2020,4,7.5,no,pomegranate soda,kuskus and chicken and eggs,pizza + zaatar * 2,air,air,air
30/09/2020,4.25,7.5,no,pomegranate soda,mom's spaghetti,ice cream,air,air,air
01/10/2020,4.5,7,no,pomegranate soda,haluz * 8,labane + avocado,air,air,air
02/10/2020,5,7,no,pomegranate soda,shwarma,bamba,cake small * 2,labane,air
03/10/2020,4.5,7,no,pomegranate soda,fish with pasta,haluz * 4,air,air,air
04/10/2020,4,7.5,no,pomegranate soda,pizza * 3,ycs,zaatar * 3,air,air
05/10/2020,4,8,no,coffee with milk,fish,ycs,air,air,air
06/10/2020,3.25,8,no,coffee with milk,fish,bamba + chockolate large,air,air,air
07/10/2020,3.25,7.5,no,coffee with milk,bbb burger with onion rings,white chocolate small,ycs,air,air
08/10/2020,3.25,8,no,pomegranate soda,rice with ktzitzut,zaatar * 4,bamba small,air,air
09/10/2020,5.5,8,serum,pomegranate soda,fish and rice,haluz * 5,air,air,air
10/10/2020,5.5,7.5,serum,pomegranate soda,rice with chicken,kariot + cakelarge,air,air,air
11/10/2020,4.25,7.5,serum,pomegranate soda,pizza * 3,joplea * 5,zaatar * 3,air,air
